year,town,total_land,residential_land,dwelling_units,proj_dwelling_units,other_land,prop_projected
2008,Ang Mo Kio,638,283,48069,58000,355,0.828775862068966
2008,Bedok,937,408,59929,74000,529,0.758594936708861
2008,Bishan,690,172,19367,32000,518,0.569617647058824
2008,Bukit Batok,785,291,31731,47000,494,0.598698113207547
2008,Bukit Merah,858,312,50247,68000,546,0.738926470588235
2008,Bukit Panjang,489,228,29498,43000,261,0.670409090909091
2008,Choa Chu Kang,583,307,39173,62000,276,0.631822580645161
2008,Clementi,408,198,23873,35000,210,0.612128205128205
2008,Geylang,678,214,30417,49000,464,0.620755102040816
2008,Hougang,1276,354,47819,68000,922,0.664152777777778
2008,Jurong East,384,165,22299,29000,219,0.7433
2008,Jurong West,987,480,68758,92000,507,0.731468085106383
2008,Kallang/ Whampoa,799,200,34288,54000,599,0.601543859649123
2008,Pasir Ris,601,318,27514,44000,283,0.625318181818182
2008,Punggol,957,422,17103,96000,535,0.17815625
2008,Queenstown,687,210,29077,60000,477,0.484616666666667
2008,Sembawang,708,317,17664,60000,391,0.271753846153846
2008,Sengkang,1055,397,42570,90000,658,0.462717391304348
2008,Serangoon,737,156,21292,29000,581,0.709733333333333
2008,Tampines,1200,500,62099,83000,700,0.564536363636364
2008,Toa Payoh,463,210,35419,48000,253,0.580639344262295
2008,Woodlands,1198,525,58025,88000,673,0.568872549019608
2008,Yishun,810,439,46613,84000,371,0.554916666666667
2009,Ang Mo Kio,638,283,48068,58000,355,0.828758620689655
2009,Bedok,937,408,59201,74000,529,0.749379746835443
2009,Bishan,690,172,19367,32000,518,0.569617647058824
2009,Bukit Batok,785,291,31731,47000,494,0.598698113207547
2009,Bukit Merah,858,312,50247,68000,546,0.738926470588235
2009,Bukit Panjang,489,228,29498,43000,261,0.670409090909091
2009,Choa Chu Kang,583,307,39511,62000,276,0.637274193548387
2009,Clementi,408,198,23871,35000,210,0.612076923076923
2009,Geylang,678,214,30510,49000,464,0.62265306122449
2009,Hougang,1276,354,47819,68000,922,0.664152777777778
2009,Jurong East,384,165,22299,29000,219,0.7433
2009,Jurong West,987,480,68760,92000,507,0.731489361702128
2009,Kallang/ Whampoa,799,200,34288,54000,599,0.601543859649123
2009,Pasir Ris,601,318,27514,44000,283,0.625318181818182
2009,Punggol,957,422,17980,96000,535,0.187291666666667
2009,Queenstown,687,210,29812,60000,477,0.496866666666667
2009,Sembawang,708,317,18421,60000,391,0.2834
2009,Sengkang,1055,397,43848,90000,658,0.476608695652174
2009,Serangoon,737,156,21292,29000,581,0.709733333333333
2009,Tampines,1200,500,62369,83000,700,0.566990909090909
2009,Toa Payoh,463,210,35418,48000,253,0.580622950819672
2009,Woodlands,1198,525,58525,88000,673,0.573774509803922
2009,Yishun,810,439,46965,84000,371,0.559107142857143
2010,Ang Mo Kio,638,283,48955,58000,355,0.844051724137931
2010,Bedok,937,408,59199,74000,529,0.749354430379747
2010,Bishan,690,172,19543,32000,518,0.574794117647059
2010,Bukit Batok,785,291,31731,47000,494,0.598698113207547
2010,Bukit Merah,858,312,50247,68000,546,0.738926470588235
2010,Bukit Panjang,489,228,29954,43000,261,0.680772727272727
2010,Choa Chu Kang,583,307,39641,62000,276,0.639370967741936
2010,Clementi,408,198,24001,35000,210,0.615410256410256
2010,Geylang,678,214,30863,49000,464,0.629857142857143
2010,Hougang,1276,354,47819,68000,922,0.664152777777778
2010,Jurong East,384,165,23607,29000,219,0.7869
2010,Jurong West,987,480,69639,92000,507,0.740840425531915
2010,Kallang/ Whampoa,799,200,36056,54000,599,0.632561403508772
2010,Pasir Ris,601,318,27514,44000,283,0.625318181818182
2010,Punggol,957,422,20518,96000,535,0.213729166666667
2010,Queenstown,687,210,30208,60000,477,0.503466666666667
2010,Sembawang,708,317,18421,60000,391,0.2834
2010,Sengkang,1055,397,46022,90000,658,0.500239130434783
2010,Serangoon,737,156,21291,29000,581,0.7097
2010,Tampines,1200,500,62837,83000,700,0.571245454545455
2010,Toa Payoh,463,210,35414,48000,253,0.58055737704918
2010,Woodlands,1198,525,58525,88000,673,0.573774509803922
2010,Yishun,810,439,47708,84000,371,0.567952380952381
2011,Ang Mo Kio,638,283,49848,58000,355,0.859448275862069
2011,Bedok,937,408,59199,74000,529,0.749354430379747
2011,Bishan,690,172,20023,32000,518,0.588911764705882
2011,Bukit Batok,785,291,32095,47000,494,0.605566037735849
2011,Bukit Merah,858,312,52962,68000,546,0.778852941176471
2011,Bukit Panjang,489,228,30444,43000,261,0.691909090909091
2011,Choa Chu Kang,583,307,40093,62000,276,0.646661290322581
2011,Clementi,408,198,25768,35000,210,0.660717948717949
2011,Geylang,678,214,29261,49000,464,0.597163265306122
2011,Hougang,1276,354,48488,68000,922,0.673444444444444
2011,Jurong East,384,165,23607,29000,219,0.7869
2011,Jurong West,987,480,68548,92000,507,0.729234042553192
2011,Kallang/ Whampoa,799,200,35758,54000,599,0.627333333333333
2011,Pasir Ris,601,318,27734,44000,283,0.630318181818182
2011,Punggol,957,422,24859,96000,535,0.258947916666667
2011,Queenstown,687,210,30756,60000,477,0.5126
2011,Sembawang,708,317,18421,60000,391,0.2834
2011,Sengkang,1055,397,47849,90000,658,0.520097826086957
2011,Serangoon,737,156,21538,29000,581,0.717933333333333
2011,Tampines,1200,500,63221,83000,700,0.574736363636364
2011,Toa Payoh,463,210,35414,48000,253,0.58055737704918
2011,Woodlands,1198,525,59034,88000,673,0.578764705882353
2011,Yishun,810,439,49024,84000,371,0.583619047619048
2012,Ang Mo Kio,638,283,48916,58000,355,0.843379310344828
2012,Bedok,937,408,59197,79000,529,0.749329113924051
2012,Bishan,690,172,19665,32000,518,0.578382352941176
2012,Bukit Batok,785,291,32095,47000,494,0.605566037735849
2012,Bukit Merah,858,312,51222,68000,546,0.753264705882353
2012,Bukit Panjang,489,228,30681,43000,261,0.697295454545455
2012,Choa Chu Kang,583,307,40383,62000,276,0.651338709677419
2012,Clementi,408,198,25816,35000,210,0.661948717948718
2012,Geylang,678,214,29260,49000,464,0.597142857142857
2012,Hougang,1276,354,49784,68000,922,0.691444444444444
2012,Jurong East,384,165,23943,29000,219,0.7981
2012,Jurong West,987,480,69246,92000,507,0.736659574468085
2012,Kallang/ Whampoa,799,200,35746,54000,599,0.627122807017544
2012,Pasir Ris,601,318,27734,44000,283,0.630318181818182
2012,Punggol,957,422,28639,96000,535,0.298322916666667
2012,Queenstown,687,210,29939,60000,477,0.498983333333333
2012,Sembawang,708,317,18421,60000,391,0.2834
2012,Sengkang,1055,397,50080,90000,658,0.544347826086957
2012,Serangoon,737,156,21538,29000,581,0.717933333333333
2012,Tampines,1200,500,63676,83000,700,0.578872727272727
2012,Toa Payoh,463,210,36617,48000,253,0.60027868852459
2012,Woodlands,1198,525,60065,88000,673,0.588872549019608
2012,Yishun,810,439,49168,84000,371,0.585333333333333
2013,Ang Mo Kio,638,283,48915,58000,355,0.843362068965517
2013,Bedok,937,418,59205,79000,519,0.749430379746836
2013,Bishan,690,172,19665,34000,518,0.578382352941176
2013,Bukit Batok,785,291,32275,53000,494,0.608962264150943
2013,Bukit Merah,858,312,51185,68000,546,0.752720588235294
2013,Bukit Panjang,489,219,31497,44000,270,0.715840909090909
2013,Choa Chu Kang,583,307,41257,62000,276,0.665435483870968
2013,Clementi,412,203,24881,39000,209,0.637974358974359
2013,Geylang,678,214,29257,49000,464,0.597081632653061
2013,Hougang,1309,367,50248,72000,942,0.697888888888889
2013,Jurong East,384,165,23379,30000,219,0.7793
2013,Jurong West,987,480,70323,94000,507,0.748117021276596
2013,Kallang/ Whampoa,799,210,35742,57000,589,0.627052631578947
2013,Pasir Ris,601,318,27919,44000,283,0.634522727272727
2013,Punggol,957,374,30877,96000,583,0.321635416666667
2013,Queenstown,694,210,30493,60000,484,0.508216666666667
2013,Sembawang,708,317,19855,60000,391,0.305461538461538
2013,Sengkang,1055,397,53458,92000,658,0.581065217391304
2013,Serangoon,737,163,21538,30000,574,0.717933333333333
2013,Tampines,1200,549,64525,110000,651,0.586590909090909
2013,Toa Payoh,556,248,36616,61000,308,0.600262295081967
2013,Woodlands,1198,480,61989,98000,718,0.607735294117647
2013,Yishun,778,398,52877,84000,380,0.629488095238095
2014,Ang Mo Kio,638,283,49169,58000,355,0.847741379310345
2014,Bedok,937,418,60115,79000,519,0.760949367088608
2014,Bishan,690,172,19664,34000,518,0.578352941176471
2014,Bukit Batok,785,291,32275,53000,494,0.608962264150943
2014,Bukit Merah,858,312,51885,68000,546,0.763014705882353
2014,Bukit Panjang,489,219,34463,44000,270,0.78325
2014,Choa Chu Kang,583,307,42393,62000,276,0.683758064516129
2014,Clementi,412,203,25480,39000,209,0.653333333333333
2014,Geylang,678,214,29256,49000,464,0.597061224489796
2014,Hougang,1309,367,51646,72000,942,0.717305555555556
2014,Jurong East,384,165,23379,30000,219,0.7793
2014,Jurong West,987,480,71755,94000,507,0.763351063829787
2014,Kallang/ Whampoa,799,210,35740,57000,589,0.627017543859649
2014,Pasir Ris,601,318,29207,44000,283,0.663795454545455
2014,Punggol,957,374,35515,96000,583,0.369947916666667
2014,Queenstown,694,210,30546,60000,484,0.5091
2014,Sembawang,708,331,20311,65000,377,0.312476923076923
2014,Sengkang,1055,397,59497,92000,658,0.646706521739131
2014,Serangoon,737,163,21293,30000,574,0.709766666666667
2014,Tampines,1200,549,66599,110000,651,0.605445454545455
2014,Toa Payoh,556,248,36439,61000,308,0.597360655737705
2014,Woodlands,1198,480,62675,98000,718,0.614460784313726
2014,Yishun,778,398,56698,84000,380,0.674976190476191
2015,Ang Mo Kio,638,283,49168,58000,355,0.847724137931035
2015,Bedok,937,418,61191,79000,519,0.774569620253165
2015,Bishan,690,172,19664,34000,518,0.578352941176471
2015,Bukit Batok,785,291,32498,53000,494,0.613169811320755
2015,Bukit Merah,858,312,51832,68000,546,0.762235294117647
2015,Bukit Panjang,489,219,35325,44000,270,0.802840909090909
2015,Choa Chu Kang,583,307,46425,62000,276,0.748790322580645
2015,Clementi,412,203,25264,39000,209,0.647794871794872
2015,Geylang,678,214,30230,49000,464,0.616938775510204
2015,Hougang,1309,367,52524,72000,942,0.7295
2015,Jurong East,384,165,23897,30000,219,0.796566666666667
2015,Jurong West,987,480,72103,94000,507,0.767053191489362
2015,Kallang/ Whampoa,799,210,36364,57000,589,0.637964912280702
2015,Pasir Ris,601,318,29654,44000,283,0.673954545454546
2015,Punggol,957,374,41747,96000,583,0.434864583333333
2015,Queenstown,694,210,31504,60000,484,0.525066666666667
2015,Sembawang,708,331,20311,65000,377,0.312476923076923
2015,Sengkang,1055,397,63047,92000,658,0.68529347826087
2015,Serangoon,737,163,21488,30000,574,0.716266666666667
2015,Tampines,1200,549,67060,110000,651,0.609636363636364
2015,Toa Payoh,556,248,36871,61000,308,0.60444262295082
2015,Woodlands,1198,480,63779,98000,718,0.62528431372549
2015,Yishun,778,398,57538,84000,380,0.684976190476191
2016,Ang Mo Kio,,,50025,58000,,0.8625
2016,Bedok,,,61100,79000,,0.773417721518987
2016,Bishan,,,20072,34000,,0.590352941176471
2016,Bukit Batok,,,33728,53000,,0.636377358490566
2016,Bukit Merah,,,52401,68000,,0.770602941176471
2016,Bukit Panjang,,,35325,44000,,0.802840909090909
2016,Choa Chu Kang,,,48900,62000,,0.788709677419355
2016,Clementi,,,26226,39000,,0.672461538461539
2016,Geylang,,,30704,49000,,0.626612244897959
2016,Hougang,,,53862,72000,,0.748083333333333
2016,Jurong East,,,23897,30000,,0.796566666666667
2016,Jurong West,,,73510,94000,,0.782021276595745
2016,Kallang/ Whampoa,,,39194,57000,,0.687614035087719
2016,Pasir Ris,,,29654,44000,,0.673954545454546
2016,Punggol,,,43385,96000,,0.451927083333333
2016,Queenstown,,,31504,60000,,0.525066666666667
2016,Sembawang,,,22872,65000,,0.351876923076923
2016,Sengkang,,,65981,92000,,0.717184782608696
2016,Serangoon,,,21487,30000,,0.716233333333333
2016,Tampines,,,67911,110000,,0.617372727272727
2016,Toa Payoh,,,37358,61000,,0.612426229508197
2016,Woodlands,,,64602,102000,,0.633352941176471
2016,Yishun,,,60904,84000,,0.725047619047619
